OBJECTID,RSPB_Reference,County,Country,Incident_Type,Month,Year,Grid_Square,Details,More_info here,GlobalID
4877,95466,Aberdeenshire,Scotland,Trapping,April,2012,NJ70,Species targeted: Birds of Prey,No Link,b6edc5dd-25c9-4a5d-b550-7492708715f3
4878,95468,Aberdeenshire,Scotland,Shooting,October,2012,NO67,Species involved: Hen Harrier x1,No Link,6e99534e-3e55-4427-9dc6-799e8d824e01
4879,95480,North Yorkshire,England,Shooting,June,2012,SE17,Species involved: Hen Harrier x1,http://community.rspb.org.uk/ourwork/b/martinharper/archive/2012/12/10/guest-blog-jude-lane-on-the-death-of-a-hen-harrier.aspx,9cf490da-d993-451b-9309-0452d0b5bf13
4880,95486,Aberdeenshire,Scotland,Trapping,September,2012,NJ41,"Species targeted: Birds of Prey, Magpie",No Link,2faf9fe5-4166-460d-ab07-06358eb41649
4881,95487,Aberdeenshire,Scotland,Trapping,September,2012,NJ41,Species targeted: Birds of Prey,No Link,c7069ba0-5575-4161-9004-e6092b4b0706
4882,95489,Stirling,Scotland,Trapping,April,2012,NS58,Species involved: Tawny Owl x1,No Link,98d5749b-d005-4da6-b6a5-25cfbc920636
4883,95491,Conwy,Wales,Poisoning,June,2012,SH67,Species involved: Peregrine Falcon x1. Tested positive for: Bendiocarb,https://www.bbc.co.uk/news/uk-wales-25372301,94d98a72-6597-40f3-804f-8c68dfa111ce
4884,95492,Conwy,Wales,Poisoning,July,2012,SH67,Species targeted: Peregrine Falcon. Species involved: poison bait (Pigeon Bait (Species Unknown) x1). Tested positive for: Bendiocarb,https://www.bbc.co.uk/news/uk-wales-25372301,24689808-b5af-446c-ac8a-536206a854c1
4885,95493,Cumbria,England,Poisoning,September,2012,NY71,Species targeted: Birds of Prey. Species involved: poison bait (Duck Bait x1). Tested positive for: Carbofuran,No Link,f0c45419-bf98-4287-958f-3f1d702bd687
4886,95494,Cumbria,England,Poisoning,September,2012,NY71,Species Involved: Buzzard x1; poison bait (Pheasant Bait x1). Tested positive for: Carbofuran,No Link,87f10ced-ccbf-4e45-b491-3fbe389cc034
4887,95495,Cumbria,England,Poisoning,September,2012,NY71,Species targeted: Birds of Prey. Species involved: poison bait (Duck Bait x1). Tested positive for: Carbofuran,No Link,16f12e70-abba-4971-9491-bd737471216b
4888,95497,Conwy,Wales,Poisoning,July,2012,SH67,Species involved: Peregrine Falcon x1. Tested positive for: Bendiocarb,https://www.bbc.co.uk/news/uk-wales-25372301,c891f3ca-9a23-4398-bfa2-5c137ca30a44
4889,95512,Powys,Wales,Poisoning,October,2012,SO11,Species targeted: Birds of Prey. Species involved: poison bait (Pheasant Bait x1). Tested positive for: Bendiocarb,https://community.rspb.org.uk/ourwork/b/investigations/archive/2016/03/10/trouble-in-the-valleys.aspx,1a61be71-c8d3-420a-a90a-33523c61b0f8
4890,95514,Powys,Wales,Poisoning,October,2012,SO11,Species targeted: Birds of Prey. Species involved: poison bait (Pheasant Bait x1). Tested positive for: Bendiocarb,https://community.rspb.org.uk/ourwork/b/investigations/archive/2016/03/10/trouble-in-the-valleys.aspx,0e4bf7f3-f786-4c72-b4b0-3d76b13b44a7
4891,95515,Powys,Wales,Poisoning,October,2012,SO11,"Species targeted: Birds of Prey. Species involved: poison bait (Pheasant Bait x1, Pheasant Bait x1). Tested positive for: Bendiocarb, Bendiocarb",https://community.rspb.org.uk/ourwork/b/investigations/archive/2016/03/10/trouble-in-the-valleys.aspx,f3ca5a4f-188f-40c8-bc94-141f126c6f42
4892,95517,Cumbria,England,Persecution (Other),August,2012,NY71,"Species targeted: Birds of Prey, Corvidae",No Link,e6e03a5e-0dd1-47af-8f54-d1536deb7354
4893,95539,North Yorkshire,England,Shooting,December,2012,SE78,Species involved: Buzzard x1,No Link,8517db20-1b2c-4fb0-8a46-8b930f690fc2
4894,95547,Nottinghamshire,England,Shooting,November,2012,SK86,Species involved: Buzzard x1,No Link,de568207-d5d0-4d2d-b031-d5cbd51e9434
